,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
158107,865981895,1,MANHATTAN,2018-11-13,00:00:00,04/10/2021,15:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,05/08/2021,,UNKNOWN,UNKNOWN,U,,25-44,WHITE,F,983666,203596,40.72550889100006,-74.00210842199994,"(40.72550889100006, -74.00210842199994)",POINT (-74.00210842199994 40.72550889100006),
158908,998139361,84,BROOKLYN,2018-05-20,00:00:00,06/03/2018,23:59:00,COMPLETED,,463,2,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,168,SODOMY 1,RESIDENCE - PUBLIC HOUSING,05/12/2021,,18-24,BLACK HISPANIC,M,,<18,WHITE HISPANIC,F,989013,192652,40.69546894100006,-73.98282507899995,"(40.69546894100006, -73.98282507899995)",POINT (-73.98282507899995 40.69546894100006),
162679,857535222,67,BROOKLYN,2018-01-24,00:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO BKLYN SOUTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,05/14/2021,,,,,,45-64,BLACK,F,996876,177505,40.65388611000003,-73.95449784399995,"(40.65388611000003, -73.95449784399995)",POINT (-73.95449784399995 40.65388611000003),
165912,120125328,81,BROOKLYN,2018-05-15,00:01:00,04/28/2021,18:00:00,COMPLETED,,502,2,N.Y. HOUSING POLICE,126,FELONY,INSIDE,MISCELLANEOUS PENAL LAW,,PATROL BORO BKLYN NORTH,293,"CONSPIRACY 2, 1",RESIDENCE - PUBLIC HOUSING,05/04/2021,,,,,,UNKNOWN,UNKNOWN,E,1001974,191809,40.69313863700007,-73.93608724999996,"(40.69313863700007, -73.93608724999996)",POINT (-73.93608724999996 40.69313863700007),
167959,191494371,105,QUEENS,2018-02-12,12:00:00,01/02/2021,20:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO QUEENS SOUTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,05/07/2021,,UNKNOWN,UNKNOWN,U,,45-64,BLACK,M,1053876,181365,40.66421620500005,-73.74903292999993,"(40.66421620500005, -73.74903292999993)",POINT (-73.74903292999993 40.66421620500005),
168137,455331203,70,BROOKLYN,2018-02-05,06:00:00,04/29/2021,19:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,04/29/2021,,25-44,WHITE,M,,45-64,WHITE,M,992113,169534,40.63201293400005,-73.97167279299998,"(40.63201293400005, -73.97167279299998)",POINT (-73.97167279299998 40.63201293400005),
168393,775340302,105,QUEENS,2018-10-01,08:00:00,10/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS SOUTH,177,SEXUAL ABUSE,RESIDENCE-HOUSE,05/04/2021,,65+,BLACK,M,,<18,BLACK,F,1057636,203954,40.72618713000002,-73.73523390399998,"(40.72618713000002, -73.73523390399998)",POINT (-73.73523390399998 40.72618713000002),
168975,628746904,62,BROOKLYN,2018-07-02,12:00:00,04/13/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,05/04/2021,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,M,987155,157127,40.59796129200004,-73.98954070499997,"(40.59796129200004, -73.98954070499997)",POINT (-73.98954070499997 40.59796129200004),
169199,669744578,18,MANHATTAN,2018-03-02,12:05:00,03/03/2021,15:11:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN SOUTH,407,"LARCENY,GRAND BY DISHONEST EMP",COMMERCIAL BUILDING,05/06/2021,,25-44,UNKNOWN,F,,UNKNOWN,UNKNOWN,D,991802,215693,40.758708942000055,-73.97274151199997,"(40.758708942000055, -73.97274151199997)",POINT (-73.97274151199997 40.758708942000055),
170302,947904940,71,BROOKLYN,2018-01-01,01:00:00,01/01/2018,02:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,05/07/2021,,UNKNOWN,UNKNOWN,U,,<18,BLACK,F,998749,181383,40.66452749800004,-73.94773929099993,"(40.66452749800004, -73.94773929099993)",POINT (-73.94773929099993 40.66452749800004),
